1487	Ваш клубный дом	1	Москва, 1-й Зачатьевский переулок, 8с3
1489	Дом на Селезневской	1	Москва, Селезневская улица
1501	Барыковские палаты	1	Москва, Барыковский переулок, 6
1502	Башня Федерация	1	Москва, Пресненская набережная, 12
1505	Дом на Покровском бульваре	1	Москва, Казарменный переулок, 3
1506	Edison House	1	Москва, Электрический переулок, 10с1
1508	Дом на Таганке	1	Москва, улица Талалихина, 8
1515	Коперник	1	Москва, улица Большая Якиманка, 22к3
1516	Легенда Цветного	1	Москва, Цветной бульвар, 2
1524	Онегин	1	Москва, улица Малая Полянка, 2
1525	Петровъ Дом	1	Москва, Дмитровский переулок, 7
1534	Салтыковка Престиж	4593	Московская область, Балашиха, микрорайон Салтыковка, жилой комплекс Салтыковка Престиж
1539	Посольский дом	1	Москва, Борисоглебский переулок, 13С3
1544	Тверской	1	Москва, 3-я Тверская-Ямская улица, 10
1546	Трилогия	1	Москва, улица Трехгорный Вал, 14С1
1550	Шоколад	1	Москва, Тетеринский переулок, 18с2
1554	Резиденция Чистые Пруды	1	Москва, Подсосенский переулок, 3
1555	Клубный дом на Арбате	1	Москва, Староконюшенный переулок, 45
1575	Балашиха-парк	4593	Московская область, Балашиха, Трубецкая улица, 102
1579	Радужный	4593	Московская область, Воскресенск, микрорайон Лопатинский, Юбилейный переулок, 8
1581	Сосновый бор	4593	Московская область, городской округ Люберцы, посёлок городского типа Октябрьский, микрорайон Сосновый Бор
1583	Флагман	4593	Московская область, Раменский район, посёлок Удельная, Полевая улица, 52
1584	Октябрь	4593	Московская область, городской округ Люберцы, посёлок городского типа Октябрьский, улица Ленина, 25
1596	Зеленоградский	4593	Московская область, Пушкинский район, поселок городского типа Зеленоградский, улица Островского, 13
1598	Искра	4593	Московская область, Ивантеевка, Центральный проезд, 8
1602	Гранд Парк	4593	Московская область, Сергиев Посад, улица Дружбы
1607	Грюнвальд	4593	Московская область, Одинцовский район, рабочий посёлок Заречье, Весенняя улица
1608	Русский Авангард	4593	Московская область, Одинцовский район, поселок Заречье, Тихая улица
1609	Форт Премиум Сколково	4593	Московская область, Одинцовский район, городское поселение Заречье, поселок Заречье, Берёзовая улица, 9
1611	Резиденции Сколково	4593	Московская область, Одинцовский район, рабочий посёлок Заречье, Заречная улица
1653	Атлант	4593	Московская область, Подольск, Советская улица, 41/5
1655	Южный парк	4593	Московская область, Подольск, Профсоюзная улица, 4
1658	Северный	4593	Московская область, Подольск, улица Мира, 4А
1661	Бородино	4593	Московская область, Подольск, Бородинский бульвар, 7
1701	Преображение	1	Москва, Тюменский проезд
1710	Калипсо	1	Москва, Щербинка, улица 40 лет Октября, 15/1
1712	Акварель	1	Москва, поселение Щаповское, поселок Щапово
1713	Роза ветров	4593	Московская область, Истра, Рабочая улица, 1А
1725	Английский квартал	1	Москва, Мытная улица, 7с1
1726	АртХаус	1	Москва, Тессинский переулок, 2-6
1731	Академия Люкс	1	Москва, улица Покрышкина, 8
1732	Аксиома	1	Москва, улица Лобачевского
1768	Апрелевский	4593	Московская область, Наро-Фоминский городской округ, Апрелевка, улица Горького, 25
1773	Аэробус	1	Москва, Кочновский проезд, 4к1
1842	Беловежская пуща	1	Москва, Беловежская улица, 17к2
1863	Изумрудные холмы	4593	Московская область, город Красногорск, бульвар Космонавтов
1864	Павшинская пойма мкр. 2	4593	Московская область, Красногорск, 2-й микрорайон
1867	Реал Парк	4593	Московская область, Красногорск, улица Народного Ополчения
1870	Новая Опалиха	4593	Московская область, Красногорск, улица Новая Опалиха
1881	Бенуа	4593	Московская область, Красногорск, Лесная улица, 3А
1887	Палитра	4593	Московская область, Красногорск, микрорайон Нахабино, улица Панфилова
1888	Дедовский	4593	Московская область, городской округ Истра, Дедовск, Гвардейская улица, 12
1890	Митинский парк	1	Москва, Пятницкое шоссе, 15к2
1916	Булганинский (Щитниковский лес)	4593	Московская область, Балашиха, микрорайон Гагарина, 29
1917	Свердлова	4593	Московская область, Балашиха, улица Твардовского
1920	Весна	4593	Московская область, Балашиха, микрорайон Балашиха-2, жилой комплекс Весна
1927	Клубный дом Уездный	4593	г. Балашиха д. Долгое Ледово, улица Медвежьи Озера, 129
1934	Ольгино	4593	Московская область, Балашиха, микрорайон Керамик, Железнодорожный проезд, 28
1935	Саввинские пруды	4593	Московская область, Железнодорожный, Саввинская улица
1943	Затишье	4593	Московская область, Электросталь, Спортивная улица
1944	Театральный	4593	Московская область, Орехово-Зуево, улица Бугрова, 8
1945	Бриз	4593	Московская область, Орехово-Зуево, улица Якова Флиера
2018	Город Яхт	1	Москва, Ленинградское шоссе, 37
2046	Дом 128	1	Москва, Профсоюзная улица, вл128к2
2054	Большой Тишинский переулок, 10с1	1	Москва, Большой Тишинский переулок
2062	Доминанта	1	Москва, Щукинская улица, 2
2068	Дом на Богородском	1	Москва, 3-я Гражданская улица, 3А
2076	Славянский	4593	Московская область, Дмитров, Чекистская улица, 8
2077	Дом на Московской	4593	Московская область, Щелково, улица 8 Марта, 25
2081	Северная жемчужина (Подлипичье)	4593	Московская область, Дмитров, улица Подлипичье, 6
2088	Центральный	4593	Московская область, Звенигород, Почтовая улица, 36
2097	Лобня-Букино	4593	Московская область, Лобня, улица Борисова, 24
2100	Калараш	4593	Московская область, Люберцы, улица Калараш, 13
2103	Наташинский парк	4593	Московская область, Люберцы, улица Митрофанова, 22к1
2108	Пролетарский	4593	Московская область, городской округ Люберцы, посёлок городского типа Красково, 2-й Осоавиахимовский проезд, 12
1958	Воронцово	1	Москва, улица Воронцовские Пруды, 3
2109	Кратово	4593	Московская область, город Раменское, Западный район, микрорайон Холодово, Коммунистическая улица
2110	Борисоглебский	4593	Московская область, Раменское, улица Мира
2111	Раменский	4593	Московская область, Раменское, Северное шоссе
2116	Ильинский	4593	Московская область, Раменский район, городское поселение Ильинский, посёлок городского типа Ильинский, улица Чкалова, 1
2117	Квартал Столичный	4593	Московская область, Красногорск, микрорайон Чернево-2, улица Вилора Трифонова, 4
2119	Новорижский	4593	Московская область, городской округ Красногорск, посёлок Ильинское-Усово, проезд Александра Невского
2124	Garden Park Эдальго	1	Москва, посёлок Коммунарка, микрорайон Эдальго
2128	Новые Ватутинки. Квартал Южный	1	Москва, поселение Десёновское, микрорайон Новые Ватутинки южный
2131	Аполлон клуб (Дубровский)	4593	Московская область, Ленинский район, поселок Дубровский, улица Турова
2132	Гранд Авион	4593	Московская область, Домодедово, Советская улица, 50
2140	Надежда	4593	Московская область, Ступино, Домостроительная улица
2141	Новое Ступино	4593	Московская область, Ступинский район, село Верзилово, микрорайон Новое Ступино
2148	Новосходненский	4593	Московская область, Химки, микрорайон Сходня, Овражная улица
2150	Новокуркино	4593	Московская область, Химки, улица Родионова
2151	СтароСходненский	4593	Московская область, Химки, микрорайон Сходня, улица Ленина, 33
2159	Берег	4593	Московская область, Химки, Береговая улица
2161	Романтика	4593	Московская область, городской округ Красногорск, деревня Путилково, Братцевская улица, 10
2163	12 квартал	4593	Московская область, Химки, улица Калинина, 9
2164	Шаляпинская усадьба	4593	Московская область, Химки, микрорайон Сходня, улица Микояна, 10к1
1494	Smolensky De Luxe	1	Москва, 1-й Смоленский переулок, 21
2165	Правый берег	4593	Московская область, Химки, жилой комплекс Правый Берег
2171	Панорама	4593	Московская область, Химки, улица Дружбы
2174	Шемякинский дворик	4593	Московская область, Солнечногорский район, деревня Шемякино, жилой комплекс Шемякинские Дворики
2177	Московская 21	4593	Московская область, Химки, Московская улица
2179	Химки Сквер	4593	Московская область, Химки, Совхозная улица
2189	Таисия	4593	Московская область, Солнечногорск, Красная улица, 60
2191	Андреевская ривьера	4593	Московская область, Солнечногорский район, поселок городского типа Андреевка, Староандреевская улица
2193	Бородинский сад	4593	Московская область, Клин, Бородинский проезд, 17А
2194	Квартал Победы	4593	Московская область, Клин, улица Победы
2197	Пятница	4593	Московская область, Солнечногорский район, сельское поселение Кутузовское, деревня Брёхово
2198	Лесной уголок	4593	Московская область, Химки, улица Опанасенко
2200	на ул. Чехова	4593	Московская область, Звенигород, улица Чехова, 1
2201	Родные просторы	4593	Московская область, Звенигород, улица Василия Фабричного 18
2202	Восточный	4593	Московская область, Звенигород, микрорайон Восточный, 3-й микрорайон
2208	Космос	4593	Московская область, Краснознаменск, улица Победы, 28
2210	Новая Трехгорка	4593	Московская область, Одинцово, микрорайон Новая Трёхгорка
2216	Подкова	4593	Московская область, Одинцовский район, деревня Малые Вязёмы, Петровское шоссе, 5
2220	Полесье	4593	Московская область, Одинцовский район, жилой комплекс Полесье
2245	Горки-Фаворит	4593	Московская область, Одинцовский район, поселок Горки-10, 23
2246	Гармония	4593	Московская область, Богородский городской округ, деревня Новая Купавна, Новая улица
2256	Гагаринский	4593	Московская область, Щёлково, микрорайон Гагаринский
2257	Дальний Воронок	4593	Московская область, Щёлково, Центральная улица, 96к1
2262	Сиреневый	4593	Московская область, Щёлково, Талсинская улица, 23
2264	Богородский	4593	Московская область, Щёлково, микрорайон Богородский
2282	Парк Сити	4593	Московская область, Жуковский, жилой комплекс Парк Сити
2284	Адмиралтейский	4593	Московская область, Лыткарино, Набережная улица
2285	Полярный	4593	Московская область, Лыткарино, квартал 3А, Спортивная улица, 20
2287	Мкрн. Белая дача	4593	Московская область, Котельники, улица Строителей
2288	Парковый	4593	Московская область, Котельники, улица Строителей
2290	Фламинго	4593	Московская область, Котельники, микрорайон Силикат, 4
2292	Пушкинский	4593	Московская область, Бронницы, Марьинский переулок, 1
2294	Малахит	4593	Московская область, городской округ Люберцы, посёлок городского типа Малаховка, улица Кирова, 4
2295	Октябрьская миля	4593	Московская область, городской округ Люберцы, посёлок городского типа Октябрьский, улица Текстильщиков, 7А
2296	Квадро	4593	Московская область, городской округ Люберцы, посёлок городского типа Октябрьский, Школьная улица, 1
2336	Астра	4593	Московская область, Мытищи, Троицкая улица
2339	Гулливер	4593	Московская область, Мытищи, улица Комарова, 2к1
2340	Яузская аллея	4593	Московская область, Мытищи, улица Семашко, 10к1
2344	Ядреевские пруды	4593	Московская область, Мытищи, 17-й микрорайон
2346	Ярославский	4593	Московская область, Мытищи, 16-й микрорайон
2349	Академик	4593	Московская область, Мытищи, Ярославское шоссе, 107
2350	Пироговский	4593	Московская область, Мытищи, микрорайон Пироговский, улица Тимирязева
2352	Вишневый сад	1	Москва, Мосфильмовская улица
2353	Олимпийский	4593	Московская область, Чехов, Весенняя улица
2354	Канадский квартал	4593	Московская область, Чехов, Русская улица
2355	Времена Года	4593	Московская область, Пущино, микрорайон Д, 23
2356	Флагман	4593	Московская область, Пущино, микрорайон Д, 20
2374	Дом Солнца	4593	Московская область, Щёлковский район, поселок Биокомбината, 16
2380	Литвиново	4593	Московская область, Щёлковский район, поселок Литвиново, 13
2383	Аничково	4593	Московская область, городской округ Лосино-Петровский, посёлок Аничково
2385	Свердловский	4593	Московская область, городской округ Лосино-Петровский, рабочий посёлок Свердловский, улица Михаила Марченко
2392	О’Пушкино	4593	Московская область, Пушкино, Набережная улица
2396	Дом на ул. Набережная	4593	Московская область, Пушкино, микрорайон Серебрянка, Набережная улица, 2А
2398	Атриум	4593	Московская область, Ивантеевка, улица Новая слобода, 1
2403	Созвездие	4593	Московская область, Ивантеевка, Луговая улица, 3
2404	Статус	4593	Московская область, Ивантеевка, Центральный проезд, 7
2407	Антей	4593	Московская область, Ивантеевка, улица Новая Слобода, 3
2408	Заречная слобода	4593	Московская область, Ивантеевка, улица Бережок
2409	Королёвские сосны	4593	Московская область, Королёв, жилой комплекс Королёвские Сосны
2412	Сосновый бор	4593	Московская область, Королев, Первомайский мкр, улица Сосновый Бор
2413	На высоте	4593	Московская область, Королев, улица Декабристов
2416	Посад-Премьер	4593	Московская область, Сергиев Посад, Пограничная улица, 30а
2418	Архимед	4593	Московская область, Сергиев Посад, Инженерная улица, 21
2419	Молодежный ГородОК	4593	Московская область, Пушкинский район, пос. Лесные Поляны, улица Солнечная
2420	Подмосковные вечера	4593	Московская область, Красноармейск, улица Чкалова, 5
2487	Дом на Парковой	4593	Московская область, Руза, Парковая улица
2563	Имперский дом	1	Москва, Якиманский переулок, 6
2590	GRAND DELUXE на Плющихе	1	Москва, Погодинская улица, 4
2592	Катрин-Хаус	1	Москва, улица Екатерины Будановой, 5
2595	Коломенская наб. , д. 24	1	Москва, Коломенская набережная, 24
2773	Крылатские Огни	1	Москва, улица Крылатские Холмы, 33к1
2861	Каменный цветок	1	Москва, улица Бажова, 8
2866	Климашкина 19	1	Москва, улица Климашкина, 19
2875	Лосиный остров	1	Москва, Погонный проезд
2939	Квартал Лукино	4593	Московская область, Балашиха, улица Лукино
3041	Молодогвардейская 15	1	Москва, Молодогвардейская улица, 15
3043	Монолит	1	Москва, улица Косыгина, 19
3046	Миракс Парк	1	Москва, проспект Вернадского, 94к1
3051	Миллион Алых Роз	1	Москва, улица Москворечье
3052	Магнолия Парк	1	Москва, Псковская улица
3054	Мономах	1	Москва, улица Алабяна, 13к1
3059	Малый Головин 5	1	Москва, Малый Головин переулок, 5
3128	Новокосино-2	4593	Московская область, Реутов, улица имени Академика В.Н. Челомея
3132	Новопесковский	1	Москва, 1-й Смоленский переулок, 17
3138	Надежда	1	Москва, улица Крупской, 1
3149	Новые Кузьминки	1	Москва, Волгоградский проспект, 84к1
3152	Нескучный сад	1	Москва, улица Орджоникидзе, 13/2
3154	На Яузе	1	Москва, Попов проезд, 1к1
3157	Дом на Нижегородской	1	Москва, Нижегородская улица, 56А
3189	Поливаново	4593	Московская область, городской округ Подольск, посёлок Поливаново, жилой комплекс Поливаново
3371	Петровская Слобода	4593	Московская область, Лосино-Петровский, улица Пушкина, 6
3432	Ленинские горки	4593	Московская область, Ленинский район, деревня Горки, Весенняя улица
4505	Краски жизни	4593	Московская область, Ленинский район, Видное, Радужная улица
5080	Львовский	4593	Московская область, Подольск, микрорайон Львовский, улица Орджоникидзе
5082	Жемчужина	4593	Московская область, Серпухов, Пограничная улица
5083	LIFE-Митинская	1	Москва, 2-й Митинский переулок
5088	Долина Сетунь	1	Москва, Минская улица, 2
5092	Экопарк Горчаково	1	Москва, поселение Первомайское, поселок Птичное, Школьная улица
5094	Ново-Молоково	4593	Московская область, Ленинский район, село Молоково, Ново-Молоковский бульвар
5095	Соколиный форт	1	Москва, 1-я Мясниковская улица, вл2
5103	Татьянин Парк	1	Москва, поселение Московский, улица Татьянин Парк
5121	Красногорская Ривьера	4593	Московская область, Красногорск, Речная улица, 20к3
5124	Прима-Парк	1	Москва, Щербинка, жилой комплекс Прима-Парк
5132	Green Light	4593	Московская область, городской округ Мытищи, посёлок Поведники, Санаторная улица
5145	Фортепиано	1	Москва, Ленинский проспект, 67С1
5152	Новое Домодедово	4593	Московская область, Домодедово, микрорайон Новое Домодедово
