2158	93	15К1	Москва, Староволынская улица, 15к1
2160	93	15К2	Москва, Староволынская улица, 15к2
2162	94	12к1	Москва, Староволынская улица, 12к1
2163	94	12К2	Москва, Староволынская улица, 12к2
2164	94	12К3	Москва, Староволынская улица, 12к3
2165	94	12К4	Москва, Староволынская улица, 12к4
2166	94	12К5	Москва, Староволынская улица, 12к5
2169	95	70К1	Москва, Мосфильмовская улица, 70к1
2171	95	70К2	Москва, Мосфильмовская улица, 70к2
2173	95	70К3	Москва, Мосфильмовская улица, 70к3
2174	95	70К4	Москва, Мосфильмовская улица, 70к4
2175	95	70К5	Москва, Мосфильмовская улица, 70к5
2177	95	70К6	Москва, Мосфильмовская улица, 70к6
2178	95	70К7	Москва, Мосфильмовская улица, 70к7
4089	96	Димломат	Москва, Мичуринский проспект, 39
2182	97	45К2	Москва, Крылатская улица, 45к2
2183	97	45К1	Москва, Крылатская улица, 45К1
11512	97	45с5	Москва, Крылатская улица, 45с5
11513	97	45К3	Москва, Крылатская улица, 45к3
11515	97	45К4	Москва, Крылатская улица, 45к4
2184	98	2В	Москва, улица Пырьева, 2А
2185	98	8	Москва, Мосфильмовская улица, 8
1310	99	Корпус 2	Москва, улица Герасима Курина, 36
10654	100	1г	Москва, Минская улица, 1Гк1
10635	101	Дом 7к1	Москва, Мичуринский проспект, 7к1
10636	101	Дом 7	Москва, Мичуринский проспект, 7
10637	101	Дом 5	Москва, Мичуринский проспект, 5
10638	101	Дом 3	Москва, Мичуринский проспект, 3
10639	101	Дом 29к3	Москва, Ломоносовский проспект, 29к3
10640	101	Дом 29к1	Москва, Ломоносовский проспект, 29к1
10641	101	Дом 29к2	Москва, Ломоносовский проспект, 29к2
28	102	20А	Москва, улица Столетова, 7к1
29	102	21-22	Москва, Мосфильмовская улица, 53
2189	102	9	Москва, улица Столетова, 9
2190	102	23	Москва, Мосфильмовская улица, 55
2191	102	18б	Москва, улица Столетова, 17
2192	102	18А	Москва, улица Столетова, 19
2194	102	19б	Москва, улица Столетова, 11
2195	103	32	Москва, Ярцевская улица, 32
46328	104	корпус 1	Москва, Нарвская улица, 1Ак4
2196	105	13	Москва, Ходынский бульвар, 13
2197	105	19	Москва, Ходынский бульвар, 19
2198	105	5К1	Москва, Ходынский бульвар, 5к1
2199	105	2	Москва, улица Гризодубовой, 2
11548	105	12	Москва, проезд Берёзовой Рощи, 12
37326	106	дом 25	Москва, улица Верхняя Масловка, 25
2200	107	3	Москва, Чапаевский переулок, 3
33602	108	Green, дом 63	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Грин
33603	108	Green, дом 64	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Грин
40147	108	Park, дом 68	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Парк, 68
40342	108	Park, дом 69	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Парк, 69
43873	108	Park, дом 70	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Парк
79741	108	Melody, дом 17	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди, 17
90608	108	Melody, дом 19	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди, 19
90619	108	Melody, дом 20	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди, 20
90620	108	Melody, дом 22	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди, 22
90622	108	Melody, дом 23	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди
90623	108	Drive, дом 36	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Драйв
93325	108	Melody, дом 18	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди
93326	108	Melody, дом 21	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди
106612	108	Green, дом 62	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Грин
2201	109	10	Москва, улица Академика Королева, 10
10646	110	Аэлита	Москва, Юровская улица, 94
2203	111	78К2	Москва, проспект Маршала Жукова, 78к2
2204	111	78	Москва, проспект Маршала Жукова, 78
2205	111	78К5	Москва, проспект Маршала Жукова, 78к5
11635	112	Дом 14к1	Москва, улица Твардовского, 14к1
11639	112	Дом 14к3	Москва, улица Твардовского, 14к3
10855	113	10	Москва, улица Маршала Соколовского, 10
12515	114	39	Москва, улица Исаковского, 39
12516	114	39к1	Москва, улица Исаковского, 39к1
2206	115	4к1	Москва, Береговая улица, 4к1
2207	115	4К10	Москва, Береговая улица, 4к10
2208	115	4К5	Москва, Береговая улица, 4к5
2209	116	22	Москва, улица Расплетина, 22
2210	116	22К2	Москва, улица Расплетина, 22к2
2211	117	А	Москва, Ленинградское шоссе, 25к3
2212	117	Б	Москва, Ленинградское шоссе, 25к2
38995	117	В	Москва, Ленинградское шоссе, 25к1
46445	118	дом 16	Москва, улица Соловьиная Роща, 16
2214	119	5	Москва, улица Маршала Соколовского, 5
10680	120	56	Москва, Привольная улица, 56
7935	121	1 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 8
7936	121	2 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 6
7937	121	3 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 4
7938	121	4 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 2
7939	121	5 корпус (1 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 13
7940	121	6 корпус (1 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 15
7941	121	7 корпус (1 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 15к1
7942	121	8 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 12
7943	121	9 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 10
7944	121	1 корпус (2 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 11
7945	121	2 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 8
7946	121	3 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 10
7947	121	4 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 12
7948	121	5 корпус (2 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 13
7949	121	6 корпус (2 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 15
7950	121	7 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 14
7951	121	8 корпус (2 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 17
7952	121	9 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 16
7953	121	1 корпус (3 фаза)	Москва, поселение Внуковское, микрорайон Переделкино Ближнее, улица ахматовой
7954	121	2 корпус (3 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 4
7955	121	3 корпус (3 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 2
