2086	416	1К1	Москва, Нежинская улица, 1к1
2088	416	1К2	Москва, Нежинская улица, 1к2
2089	416	1К3	Москва, Нежинская улица, 1к3
2091	416	1К4	Москва, Нежинская улица, 1к4
10593	418	7	Москва, Нижегородская улица, 7
9916	425	Корпус А	Москва, Новоясеневский проспект
13570	425	Корпус В	Москва, Новоясеневский проспект, 9
16704	425	Корпус Б	Москва, Новоясеневский проспект
11547	431	30	Московская область, Коломна, Москворецкая улица, 30
2095	433	25К1	Москва, Профсоюзная улица, 25К1
2096	433	44К2	Москва, Новочеремушкинская улица, 44К2
108623	433	44К3	Москва, Новочерёмушкинская улица, 44к3
2097	441	9А	Москва, Комсомольский проспект, 9А
8210	442	19к1	Москва, улица Ефремова, 19к1
8211	442	19к2	Москва, улица Ефремова, 19к2
8212	442	19к3	Москва, улица Ефремова, 19к3
8213	442	19к4	Москва, улица Ефремова, 19к4
576812	452	VernadSKY	Москва, проспект Вернадского
2098	456	20СТР1	Москва, улица Верхняя Масловка, 20с1
11693	472	1	Московская область, Воскресенск, микрорайон Центральный, улица Куйбышева, 47Ас1
11694	472	2	Московская область, Воскресенск, микрорайон Центральный, улица Куйбышева, 47Ас2
11695	472	3	Московская область, Воскресенск, микрорайон Центральный, улица Куйбышева, 47Ас3
35222	475	Захарченко, 10 (дом 1)	Московская область, Электросталь, улица Захарченко, 10
35224	475	Захарченко, 8 (дом 2)	Московская область, Электросталь, улица Захарченко, 8
35226	475	Захарченко, 6 (дом 3)	Московская область, Электросталь, улица Захарченко, 6
576297	475	Литер 4	Московская область, Электросталь, улица Захарченко, к12
10592	479	55	Москва, улица Гиляровского, 55
1757	487	6к1	Москва, улица Фотиевой, 6к1
309	508	Дом №1	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 2
310	508	Дом №2	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 4
311	508	Дом №3	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 6
312	508	Дом №4	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 8
313	508	Дом №5	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 10
2102	508	Дом №6	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 26
2103	513	25а	Московская область, Одинцово, бульвар Маршала Крылова, 25А
6725	515	19	Московская область, Одинцово, Вокзальная улица, 19
2104	516	корпус 10	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 10
2105	516	корпус 1	Московская область, Одинцово, улица Белорусская, 3
2106	516	корпус 3	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 11
2107	516	корпус 5	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 2
2108	516	корпус 2	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 9
2109	516	корпус 9	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 8
7892	516	корпус 7	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 4
9583	516	корпус 4	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 13
9584	516	корпус 8	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 6
9585	516	корпус 11	Московская область, Одинцово, 9-й микрорайон, Белорусская улица
1378	839	Корпус 3	Москва, улица Маршала Катукова, 24к3
2110	518	Корпус 1	Московская область, Одинцовский район, рабочий посёлок Заречье, Университетская улица, 1
6077	518	Корпус 2	Московская область, Одинцовский район, рабочий посёлок Заречье, Университетская улица, 2
6078	518	Корпус 3	Московская область, Одинцовский район, рабочий посёлок Заречье, Университетская улица, 3
6079	518	Корпус 4	Московская область, Одинцовский район, рабочий посёлок Заречье, Университетская улица, 4
10479	520	корпус 1	Московская область, Одинцовский район, поселок ВНИИССОК, улица Дружбы 17
29512	528	11	Московская область, Одинцовский район, поселок городского типа Лесной Городок, микрорайон Восточный
